Name,Logo
Mapr,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/mapr.png
Marketo,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/marketo.jpeg
Meetup,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/meetup.png
Message Bird,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/messagebird.png
Microsoft Dynamics,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/crm.png
Microsoft Office 365,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/office365.jpeg
Microsoft Teams,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/microsoftteams.png
Mongo,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/mongodb.png
MongoDB,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/mongodb.png
MSSQL,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/mssql.png
MySql,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/mysql.png
NewRelic,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/newrelic.png
Nimble,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/nimble.png
OneDrive,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/onedrive.png
OneNote,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/onenote.png
Oracle,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/oracle.png
Outlook Mail,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/outlookmail.png
Owler,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/owler.png
PagerDuty,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/pagerduty.png
Pardot,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/pardot.png
Peakon,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/peakon.png
PeoplSoft,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/peoplesoft.png
Pingdom,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/pingdom.png
Pipedrive,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/pipedrive.png
Pivotal Tracker,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/pivotaltracker.png
PlanDay,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/planday.png
Podio,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/podio.png
PostgreSQL,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/postgresql.png
Power BI,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/powerbi1.png
ProsperWorks,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/prosperworks.png
Qlik,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/qlik.png
QuickBooks,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/quickbooks.png
RapidMiner,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/rapidminer.png
RSS,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/rss.png
S3,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/s3.png
Salesforce,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/salesforce.png
SalesforceIQ,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/salesforceiq.png
Salesforce Service,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/salesforce.png
SalesLoft,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/salesloft.png
SAP,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/sap.png
SAP Hana,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/sap.png
Scrive,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/scrive.png
Segment.Io,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/segment.io.png
SendGrid,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/sendgrid.png
ServiceNow,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/servicenow.png
SFTP,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/sftp.png
Sharepoint,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/sharepoint.png
Similar Tech,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/similartech.png
Similar Web,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/similarweb.png
Sitecore,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/sitecore.png
Skype,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/skype.png
Slack,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/slack.png
SOLR,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/solr.png
Stack OverFlow,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/stackoverflow.png
Stack Share,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/stackshare.png
Stripe,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/stripe.png
SugarCRM,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/sugar.png
Survey Monkey,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/surveymonkey.png
SVN,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/svn.png
Tatango,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/tatango.png
Team Foundation Server,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/teamfoundationserver.png
TeamWork,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/teamwork.png
Teamwork Desk,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/teamworkdesk.png
Templafy,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/templafy.png
Teradata,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/teradata.png
Timelog,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/timelog.png
TradeShift,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/tradeshift.jpeg
Trello,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/trello.png
TrustPilot,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/trustpilot.png
Twilio,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/twi.png
Twitter,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/twitter.png
UserVoice,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/uservoice.png
Vertica,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/vertica.jpeg
Web Crawler,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/webcrawler.png
webCRM,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/webcrm.jpeg
Wikipedia,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/wikipedia.png
WordPress,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/wordpress.png
Workday,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/workday.gif
Wrike,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/wrike.png
Wunderlist,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/wunderlist.png
Yammer,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/yammer.png
YouTube,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/youtube.png
Zapier,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/zapier.png
Zendesk,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/zendesk.png
Zoho CRM,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/zohocrm.png
Zoom,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/zoom.png
Zuora,https://raw.githubusercontent.com/nickatodd/safeonline/master/logos/zuora.jpeg
